Network,Train_R2,Train_R2 std,Train_RSME,Train_RSME std,Train_MAE,Train_MAE std,Test_R2,Test_R2 std,Test_RSME,Test_RSME std,Test_MAE,Test_MAE std,Epoch,LR,
Trial-49(7 x 18 x 18 x 1),0.988415281,0.003304627,0.012247466,0.001713512,0.007499503,0.001229792,0.969787476,0.013822741,0.020123593,0.004567021,0.011009657,0.001843091,354,0.005,0
Trial-52(7 x 24 x 24 x 1),0.98822644,0.001910736,0.013115039,0.001764391,0.008696928,0.001503215,0.96663881,0.014258902,0.022523031,0.005662149,0.013702019,0.003404421,171,0.005,0
Trial-53(7 x 26 x 26 x 1),0.989068638,0.003784245,0.012507864,0.003209684,0.007901537,0.002473691,0.963364735,0.037633982,0.02128986,0.008270638,0.012547984,0.005950068,276,0.005,0
Trial-55(7 x 30 x 30 x 1),0.988503671,0.003568522,0.012630191,0.003033167,0.007922237,0.002740943,0.958586213,0.025842622,0.024499224,0.010012434,0.01407322,0.00608277,259,0.005,0
Trial-45(7 x 10 x 10 x 1),0.98219381,0.005139621,0.016113211,0.002409906,0.010978438,0.00149044,0.958288442,0.029518584,0.022338097,0.00765695,0.014279161,0.003747778,398,0.005,0
Trial-32(7 x 28 x 28 x 1),0.97045433,0.02301785,0.020086804,0.007868168,0.010682409,0.004897287,0.943703109,0.069182964,0.025930321,0.0091178,0.01308427,0.004987635,1113,0.001,1
Trial-76(7 x 26 x 26 x 1),0.981810737,0.010655892,0.015632728,0.003784311,0.009284217,0.002273296,0.942649102,0.041630186,0.029062416,0.009067126,0.017030096,0.004755328,326,0.0025,0
Trial-75(7 x 24 x 24 x 1),0.986833833,0.004410743,0.015047482,0.003296191,0.010513078,0.002808056,0.938050501,0.035807834,0.029778339,0.008638743,0.016984917,0.004546794,300,0.0025,0
Trial-77(7 x 28 x 28 x 1),0.984515305,0.011946272,0.013954961,0.005939075,0.008565147,0.00294098,0.931574413,0.058162011,0.029221704,0.010832031,0.014454504,0.005683951,327,0.0025,0
Trial-43(7 x 28 x 28 x 1),0.962208479,0.032420176,0.02237584,0.010952212,0.01140136,0.0048507,0.930920076,0.066836303,0.02811182,0.010852364,0.014017274,0.005405282,444,0.001,0
