,Hard-U,Fe %,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Predict,Gradient
0,200.0,11.6,29.9,0.0,8571.4,50.0,50.0,390.26904,0.0
1,200.0,11.6,29.9,1.0,8571.4,50.0,50.0,389.80652,-0.4625244140625
2,200.0,11.6,29.9,2.0,8571.4,50.0,50.0,389.34442,-0.46209716796875
3,200.0,11.6,29.9,3.0,8571.4,50.0,50.0,388.88275,-0.461669921875
4,200.0,11.6,29.9,4.0,8571.4,50.0,50.0,388.42157,-0.461181640625
5,200.0,11.6,29.9,5.0,8571.4,50.0,50.0,387.96075,-0.4608154296875
6,200.0,11.6,29.9,6.0,8571.4,50.0,50.0,387.50043,-0.4603271484375
7,200.0,11.6,29.9,7.0,8571.4,50.0,50.0,387.0406,-0.4598388671875
8,200.0,11.6,29.9,8.0,8571.4,50.0,50.0,386.58118,-0.45941162109375
9,200.0,11.6,29.9,9.0,8571.4,50.0,50.0,386.12222,-0.458953857421875
10,200.0,11.6,29.9,10.0,8571.4,50.0,50.0,385.66373,-0.45849609375
11,200.0,11.6,29.9,11.0,8571.4,50.0,50.0,385.2057,-0.458038330078125
12,200.0,11.6,29.9,12.0,8571.4,50.0,50.0,384.7481,-0.45758056640625
13,200.0,11.6,29.9,13.0,8571.4,50.0,50.0,384.29102,-0.45709228515625
14,200.0,11.6,29.9,14.0,8571.4,50.0,50.0,383.8344,-0.45660400390625
15,200.0,11.6,29.9,15.0,8571.4,50.0,50.0,383.37827,-0.456146240234375
16,200.0,11.6,29.9,16.0,8571.4,50.0,50.0,382.92255,-0.455718994140625
17,200.0,11.6,29.9,17.0,8571.4,50.0,50.0,382.46738,-0.455169677734375
18,200.0,11.6,29.9,18.0,8571.4,50.0,50.0,382.0127,-0.454681396484375
19,200.0,11.6,29.9,19.0,8571.4,50.0,50.0,381.5584,-0.45428466796875
20,200.0,11.6,29.9,20.0,8571.4,50.0,50.0,381.10468,-0.4537353515625
21,200.0,11.6,29.9,21.0,8571.4,50.0,50.0,380.65146,-0.453216552734375
22,200.0,11.6,29.9,22.0,8571.4,50.0,50.0,380.1987,-0.4527587890625
23,200.0,11.6,29.9,23.0,8571.4,50.0,50.0,379.74646,-0.452239990234375
24,200.0,11.6,29.9,24.0,8571.4,50.0,50.0,379.29468,-0.4517822265625
25,200.0,11.6,29.9,25.0,8571.4,50.0,50.0,378.8434,-0.451263427734375
26,200.0,11.6,29.9,26.0,8571.4,50.0,50.0,378.39267,-0.45074462890625
27,200.0,11.6,29.9,27.0,8571.4,50.0,50.0,377.94244,-0.450225830078125
28,200.0,11.6,29.9,28.0,8571.4,50.0,50.0,377.49268,-0.44976806640625
29,200.0,11.6,29.9,29.0,8571.4,50.0,50.0,377.04346,-0.44921875
30,200.0,11.6,29.9,30.0,8571.4,50.0,50.0,376.59473,-0.44873046875
31,200.0,11.6,29.9,31.0,8571.4,50.0,50.0,376.14655,-0.44818115234375
32,200.0,11.6,29.9,32.0,8571.4,50.0,50.0,375.69885,-0.44769287109375
33,200.0,11.6,29.9,33.0,8571.4,50.0,50.0,375.2517,-0.4471435546875
34,200.0,11.6,29.9,34.0,8571.4,50.0,50.0,374.80505,-0.4466552734375
35,200.0,11.6,29.9,35.0,8571.4,50.0,50.0,374.35895,-0.44610595703125
36,200.0,11.6,29.9,36.0,8571.4,50.0,50.0,373.9134,-0.445556640625
37,200.0,11.6,29.9,37.0,8571.4,50.0,50.0,373.46832,-0.445068359375
38,200.0,11.6,29.9,38.0,8571.4,50.0,50.0,373.02386,-0.4444580078125
39,200.0,11.6,29.9,39.0,8571.4,50.0,50.0,372.57986,-0.444000244140625
40,200.0,11.6,29.9,40.0,8571.4,50.0,50.0,372.13644,-0.44342041015625
41,200.0,11.6,29.9,41.0,8571.4,50.0,50.0,371.69354,-0.442901611328125
42,200.0,11.6,29.9,42.0,8571.4,50.0,50.0,371.25122,-0.44232177734375
43,200.0,11.6,29.9,43.0,8571.4,50.0,50.0,370.8094,-0.44183349609375
44,200.0,11.6,29.9,44.0,8571.4,50.0,50.0,370.36816,-0.44122314453125
45,200.0,11.6,29.9,45.0,8571.4,50.0,50.0,369.92743,-0.44073486328125
46,200.0,11.6,29.9,46.0,8571.4,50.0,50.0,369.4873,-0.44012451171875
47,200.0,11.6,29.9,47.0,8571.4,50.0,50.0,369.04773,-0.4395751953125
48,200.0,11.6,29.9,48.0,8571.4,50.0,50.0,368.6087,-0.43902587890625
49,200.0,11.6,29.9,49.0,8571.4,50.0,50.0,368.17023,-0.4384765625
50,200.0,11.6,29.9,50.0,8571.4,50.0,50.0,367.73233,-0.437896728515625
51,200.0,11.6,29.9,51.0,8571.4,50.0,50.0,367.29498,-0.437347412109375
52,200.0,11.6,29.9,52.0,8571.4,50.0,50.0,366.85822,-0.436767578125
53,200.0,11.6,29.9,53.0,8571.4,50.0,50.0,366.422,-0.43621826171875
54,200.0,11.6,29.9,54.0,8571.4,50.0,50.0,365.9864,-0.43560791015625
55,200.0,11.6,29.9,55.0,8571.4,50.0,50.0,365.55133,-0.43505859375
56,200.0,11.6,29.9,56.0,8571.4,50.0,50.0,365.11685,-0.434478759765625
57,200.0,11.6,29.9,57.0,8571.4,50.0,50.0,364.68295,-0.43389892578125
58,200.0,11.6,29.9,58.0,8571.4,50.0,50.0,364.24963,-0.433319091796875
59,200.0,11.6,29.9,59.0,8571.4,50.0,50.0,363.8169,-0.4327392578125
60,200.0,11.6,29.9,60.0,8571.4,50.0,50.0,363.38477,-0.43212890625
61,200.0,11.6,29.9,61.0,8571.4,50.0,50.0,362.9532,-0.43157958984375
62,200.0,11.6,29.9,62.0,8571.4,50.0,50.0,362.52222,-0.43096923828125
63,200.0,11.6,29.9,63.0,8571.4,50.0,50.0,362.09183,-0.430389404296875
64,200.0,11.6,29.9,64.0,8571.4,50.0,50.0,361.66205,-0.429779052734375
65,200.0,11.6,29.9,65.0,8571.4,50.0,50.0,361.23285,-0.42919921875
66,200.0,11.6,29.9,66.0,8571.4,50.0,50.0,360.80426,-0.4285888671875
67,200.0,11.6,29.9,67.0,8571.4,50.0,50.0,360.37625,-0.428009033203125
68,200.0,11.6,29.9,68.0,8571.4,50.0,50.0,359.94888,-0.4273681640625
69,200.0,11.6,29.9,69.0,8571.4,50.0,50.0,359.5221,-0.426788330078125
70,200.0,11.6,29.9,70.0,8571.4,50.0,50.0,359.0959,-0.42620849609375
71,200.0,11.6,29.9,71.0,8571.4,50.0,50.0,358.6703,-0.42559814453125
72,200.0,11.6,29.9,72.0,8571.4,50.0,50.0,358.24536,-0.4249267578125
