,Yield Strengh,UTS,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Hardness,Predict
211,11.6,29.9,0,8571.4,50,50,184.94,0.8764928909999999,0.61482036
211,11.6,29.9,50,8571.4,50,50,164.42,0.779241706,0.5499835
211,11.6,29.9,100,8571.4,50,50,137.03,0.64943128,0.4985175
211,11.6,29.9,150,8571.4,50,50,106.41,0.504312796,0.41506582
211,11.6,29.9,200,8571.4,50,50,104.84,0.49687203799999996,0.3576976
211,11.6,29.9,250,8571.4,50,50,94.8,0.44928909999999994,0.2855568
211,11.6,29.9,300,8571.4,50,50,84.76,0.401706161,0.20438924
211,11.6,29.9,250,8571.4,50,50,76.74,0.36369668200000005,0.27988952
211,11.6,29.9,400,8571.4,50,50,76.39,0.362037915,0.09268844
211,11.6,29.9,440,8571.4,50,50,60.7,0.287677725,0.060189247
211,11.6,29.9,500,8571.4,50,50,45.42,0.215260664,0.03205973
211,11.6,29.9,550,8571.4,50,50,25.29,0.11985782,0.01806274
211,11.6,29.9,600,8571.4,50,50,16.87,0.079952607,0.010743648
211,11.6,29.9,650,8571.4,50,50,6.83,0.032369668,0.006317705
211,11.6,29.9,700,8571.4,50,50,4.06,0.019241706,0.003837943
211,11.6,29.9,750,8571.4,50,50,1.68,0.007962085,0.0023497343
211,11.6,29.9,800,8571.4,50,50,0.0,0.0,0.0014489591
211,11.6,29.9,850,8571.4,50,50,0.0,0.0,0.0008997321
211,11.6,29.9,900,8571.4,50,50,0.0,0.0,0.00055861473
211,11.6,29.9,950,8571.4,50,50,0.0,0.0,0.00034680963
211,11.6,29.9,1000,8571.4,50,50,0.0,0.0,0.00021526217
211,11.6,29.9,0,0.0,0,0,0.0,0.0,0.07697362
211,11.6,29.9,200,0.0,0,0,0.0,0.0,0.05713749
211,11.6,29.9,400,0.0,0,0,0.0,0.0,0.009064794
211,11.6,29.9,600,0.0,0,0,0.0,0.0,0.0012655556
211,11.6,29.9,800,0.0,0,0,0.0,0.0,0.00017997622
211,11.6,29.9,1000,0.0,0,0,0.0,0.0,2.5570393e-05
211,11.6,29.9,1200,0.0,0,0,0.0,0.0,3.6358833e-06
211,11.6,29.9,1400,0.0,0,0,0.0,0.0,5.364418e-07
211,11.6,29.9,1600,0.0,0,0,0.0,0.0,8.940697e-08
211,11.6,29.9,1800,0.0,0,0,0.0,0.0,0.0
211,11.6,29.9,2000,0.0,0,0,0.0,0.0,0.0
314,17.62,18.84,0,8571.4,50,50,142.0,0.452229299,0.58478725
314,17.62,18.84,0,0.0,0,0,0.0,0.0,0.12388852
250,17.62,18.84,0,5714.3,80,30,94.0,0.376,0.54831916
250,17.62,18.84,50,5714.3,80,30,93.0,0.37200000000000005,0.50188977
250,17.62,18.84,100,5714.3,80,30,80.0,0.32,0.44133082
250,17.62,18.84,150,5714.3,80,30,52.0,0.20800000000000002,0.34998536
250,17.62,18.84,200,5714.3,80,30,30.0,0.12,0.23277777
250,17.62,18.84,250,5714.3,80,30,6.0,0.024,0.14565271
250,17.62,18.84,300,5714.3,80,30,8.0,0.032,0.0960705
250,17.62,18.84,350,5714.3,80,30,0.0,0.0,0.059164792
250,17.62,18.84,400,5714.3,80,30,0.0,0.0,0.03734696
250,17.62,18.84,450,5714.3,80,30,0.0,0.0,0.023374885
250,17.62,18.84,500,5714.3,80,30,0.0,0.0,0.014654517
250,17.62,18.84,550,5714.3,80,30,0.0,0.0,0.009145975
250,17.62,18.84,600,5714.3,80,30,0.0,0.0,0.005696088
250,17.62,18.84,700,5714.3,80,30,0.0,0.0,0.0022018254
250,17.62,18.84,800,5714.3,80,30,0.0,0.0,0.000849247
250,17.62,18.84,900,5714.3,80,30,0.0,0.0,0.0003273785
250,17.62,18.84,1000,5714.3,80,30,0.0,0.0,0.00012615323
250,17.62,18.84,1100,5714.3,80,30,0.0,0.0,4.8547983e-05
250,17.62,18.84,1200,5714.3,80,30,0.0,0.0,1.8656254e-05
250,17.62,18.84,1300,5714.3,80,30,0.0,0.0,7.033348e-06
250,17.62,18.84,1400,5714.3,80,30,0.0,0.0,2.6524067e-06
250,17.62,18.84,1500,5714.3,80,30,0.0,0.0,9.536743e-07
250,17.62,18.84,1600,5714.3,80,30,0.0,0.0,2.9802322e-07
250,17.62,18.84,1700,5714.3,80,30,0.0,0.0,1.7881393e-07
250,17.62,18.84,1800,5714.3,80,30,0.0,0.0,8.940697e-08
250,17.62,18.84,1900,5714.3,80,30,0.0,0.0,2.9802322e-08
250,17.62,18.84,2000,5714.3,80,30,0.0,0.0,0.0
250,17.62,18.84,0,0.0,0,0,0.0,0.0,0.12388852
250,17.62,18.84,200,0.0,0,0,0.0,0.0,0.06613734
250,17.62,18.84,400,0.0,0,0,0.0,0.0,0.00980261
250,17.62,18.84,600,0.0,0,0,0.0,0.0,0.0014045238
250,17.62,18.84,800,0.0,0,0,0.0,0.0,0.00019988418
250,17.62,18.84,1000,0.0,0,0,0.0,0.0,2.8461218e-05
250,17.62,18.84,1200,0.0,0,0,0.0,0.0,3.993511e-06
250,17.62,18.84,1400,0.0,0,0,0.0,0.0,5.662441e-07
250,17.62,18.84,1600,0.0,0,0,0.0,0.0,1.4901161e-07
250,17.62,18.84,1800,0.0,0,0,0.0,0.0,0.0
250,17.62,18.84,2000,0.0,0,0,0.0,0.0,0.0
684,9.66,17.42,0,40000.0,40,16,300.06,0.438684211,0.48427537
684,9.66,17.42,25,40000.0,40,16,300.74,0.43967836299999996,0.46184987
684,9.66,17.42,75,40000.0,40,16,274.37,0.40112573100000004,0.39222974
684,9.66,17.42,125,40000.0,40,16,172.54,0.252251462,0.24345493
684,9.66,17.42,175,40000.0,40,16,107.77,0.15755848,0.15503114
684,9.66,17.42,225,40000.0,40,16,55.7,0.081432749,0.10198212
684,9.66,17.42,275,40000.0,40,16,0.0,0.0,0.06556842
684,9.66,17.42,325,40000.0,40,16,0.0,0.0,0.052412152
684,9.66,17.42,375,40000.0,40,16,0.0,0.0,0.03973204
684,9.66,17.42,425,40000.0,40,16,0.0,0.0,0.029934138
684,9.66,17.42,475,40000.0,40,16,0.0,0.0,0.024547428
684,9.66,17.42,525,40000.0,40,16,0.0,0.0,0.023821503
684,9.66,17.42,575,40000.0,40,16,0.0,0.0,0.021944344
684,9.66,17.42,625,40000.0,40,16,0.0,0.0,0.019123077
684,9.66,17.42,675,40000.0,40,16,0.0,0.0,0.016531408
684,9.66,17.42,725,40000.0,40,16,0.0,0.0,0.014286876
684,9.66,17.42,775,40000.0,40,16,0.0,0.0,0.012343198
684,9.66,17.42,825,40000.0,40,16,0.0,0.0,0.010661066
684,9.66,17.42,875,40000.0,40,16,0.0,0.0,0.009206176
684,9.66,17.42,925,40000.0,40,16,0.0,0.0,0.007948101
684,9.66,17.42,975,40000.0,40,16,0.0,0.0,0.0067659616
684,9.66,17.42,1025,40000.0,40,16,0.0,0.0,0.0049830377
684,9.66,17.42,0,0.0,0,0,0.0,0.0,0.13319874
684,9.66,17.42,200,0.0,0,0,0.0,0.0,0.06762266
684,9.66,17.42,400,0.0,0,0,0.0,0.0,0.010007054
684,9.66,17.42,600,0.0,0,0,0.0,0.0,0.0014340878
684,9.66,17.42,800,0.0,0,0,0.0,0.0,0.0002040565
684,9.66,17.42,1000,0.0,0,0,0.0,0.0,2.9057264e-05
684,9.66,17.42,1200,0.0,0,0,0.0,0.0,4.1127205e-06
