Hardness (HV),Fe (%),Cr(%),Depth from surface (um),Number of Strikes,Static Load (N),Amplitude (um),Hardness after treatmetn,Increase of Hardness ratio
211,11.6,29.9,0,8571.4,50,50,395.94,0.876492891
211,11.6,29.9,50,8571.4,50,50,375.42,0.779241706
211,11.6,29.9,100,8571.4,50,50,348.0300001,0.64943128
211,11.6,29.9,150,8571.4,50,50,317.41,0.504312796
211,11.6,29.9,200,8571.4,50,50,315.84,0.496872038
211,11.6,29.9,250,8571.4,50,50,305.8000001,0.4492891
211,11.6,29.9,300,8571.4,50,50,295.76,0.401706161
211,11.6,29.9,250,8571.4,50,50,287.7399999,0.363696682
211,11.6,29.9,400,8571.4,50,50,287.3900001,0.362037915
211,11.6,29.9,440,8571.4,50,50,271.7,0.287677725
211,11.6,29.9,500,8571.4,50,50,256.4200001,0.215260664
211,11.6,29.9,550,8571.4,50,50,236.29,0.11985782
211,11.6,29.9,600,8571.4,50,50,227.8700001,0.079952607
211,11.6,29.9,650,8571.4,50,50,217.8299999,0.032369668
211,11.6,29.9,700,8571.4,50,50,215.06,0.019241706
211,11.6,29.9,750,8571.4,50,50,212.6799999,0.007962085
211,11.6,29.9,800,8571.4,50,50,211,0
211,11.6,29.9,850,8571.4,50,50,211,0
211,11.6,29.9,900,8571.4,50,50,211,0
211,11.6,29.9,950,8571.4,50,50,211,0
211,11.6,29.9,1000,8571.4,50,50,211,0
211,11.6,29.9,0,0,0,0,211,0
211,11.6,29.9,200,0,0,0,211,0
211,11.6,29.9,400,0,0,0,211,0
211,11.6,29.9,600,0,0,0,211,0
211,11.6,29.9,800,0,0,0,211,0
211,11.6,29.9,1000,0,0,0,211,0
211,11.6,29.9,1200,0,0,0,211,0
211,11.6,29.9,1400,0,0,0,211,0
211,11.6,29.9,1600,0,0,0,211,0
211,11.6,29.9,1800,0,0,0,211,0
211,11.6,29.9,2000,0,0,0,211,0
314,17.62,18.84,0,8571.4,50,50,455.9999999,0.452229299
314,17.62,18.84,0,0,0,0,314,0
250,17.62,18.84,0,5714.3,80,30,344,0.376
250,17.62,18.84,50,5714.3,80,30,343,0.372
250,17.62,18.84,100,5714.3,80,30,330,0.32
250,17.62,18.84,150,5714.3,80,30,302,0.208
250,17.62,18.84,200,5714.3,80,30,280,0.12
250,17.62,18.84,250,5714.3,80,30,256,0.024
250,17.62,18.84,300,5714.3,80,30,258,0.032
250,17.62,18.84,350,5714.3,80,30,250,0
250,17.62,18.84,400,5714.3,80,30,250,0
250,17.62,18.84,450,5714.3,80,30,250,0
250,17.62,18.84,500,5714.3,80,30,250,0
250,17.62,18.84,550,5714.3,80,30,250,0
250,17.62,18.84,600,5714.3,80,30,250,0
250,17.62,18.84,700,5714.3,80,30,250,0
250,17.62,18.84,800,5714.3,80,30,250,0
250,17.62,18.84,900,5714.3,80,30,250,0
250,17.62,18.84,1000,5714.3,80,30,250,0
250,17.62,18.84,1100,5714.3,80,30,250,0
250,17.62,18.84,1200,5714.3,80,30,250,0
250,17.62,18.84,1300,5714.3,80,30,250,0
250,17.62,18.84,1400,5714.3,80,30,250,0
250,17.62,18.84,1500,5714.3,80,30,250,0
250,17.62,18.84,1600,5714.3,80,30,250,0
250,17.62,18.84,1700,5714.3,80,30,250,0
250,17.62,18.84,1800,5714.3,80,30,250,0
250,17.62,18.84,1900,5714.3,80,30,250,0
250,17.62,18.84,2000,5714.3,80,30,250,0
250,17.62,18.84,0,0,0,0,250,0
250,17.62,18.84,200,0,0,0,250,0
250,17.62,18.84,400,0,0,0,250,0
250,17.62,18.84,600,0,0,0,250,0
250,17.62,18.84,800,0,0,0,250,0
250,17.62,18.84,1000,0,0,0,250,0
250,17.62,18.84,1200,0,0,0,250,0
250,17.62,18.84,1400,0,0,0,250,0
250,17.62,18.84,1600,0,0,0,250,0
250,17.62,18.84,1800,0,0,0,250,0
250,17.62,18.84,2000,0,0,0,250,0
684,9.66,17.42,0,40000,40,16,984.0600003,0.438684211
684,9.66,17.42,25,40000,40,16,984.7400003,0.439678363
684,9.66,17.42,75,40000,40,16,958.37,0.401125731
684,9.66,17.42,125,40000,40,16,856.54,0.252251462
684,9.66,17.42,175,40000,40,16,791.7700003,0.15755848
684,9.66,17.42,225,40000,40,16,739.7000003,0.081432749
684,9.66,17.42,275,40000,40,16,684,0
684,9.66,17.42,325,40000,40,16,684,0
684,9.66,17.42,375,40000,40,16,684,0
684,9.66,17.42,425,40000,40,16,684,0
684,9.66,17.42,475,40000,40,16,684,0
684,9.66,17.42,525,40000,40,16,684,0
684,9.66,17.42,575,40000,40,16,684,0
684,9.66,17.42,625,40000,40,16,684,0
684,9.66,17.42,675,40000,40,16,684,0
684,9.66,17.42,725,40000,40,16,684,0
684,9.66,17.42,775,40000,40,16,684,0
684,9.66,17.42,825,40000,40,16,684,0
684,9.66,17.42,875,40000,40,16,684,0
684,9.66,17.42,925,40000,40,16,684,0
684,9.66,17.42,975,40000,40,16,684,0
684,9.66,17.42,1025,40000,40,16,684,0
684,9.66,17.42,0,0,0,0,684,0
684,9.66,17.42,200,0,0,0,684,0
684,9.66,17.42,400,0,0,0,684,0
684,9.66,17.42,600,0,0,0,684,0
684,9.66,17.42,800,0,0,0,684,0
684,9.66,17.42,1000,0,0,0,684,0
684,9.66,17.42,1200,0,0,0,684,0
684,9.66,17.42,1400,0,0,0,684,0
684,9.66,17.42,1600,0,0,0,684,0
684,9.66,17.42,1800,0,0,0,684,0
684,9.66,17.42,2000,0,0,0,684,0
190,9.42,16.35,0,0,0,0,190,0
190,9.42,16.35,200,0,0,0,190,0
190,9.42,16.35,400,0,0,0,190,0
190,9.42,16.35,600,0,0,0,190,0
190,9.42,16.35,800,0,0,0,190,0
190,9.42,16.35,1000,0,0,0,190,0
190,9.42,16.35,1200,0,0,0,190,0
190,9.42,16.35,1400,0,0,0,190,0
190,9.42,16.35,1600,0,0,0,190,0
190,9.42,16.35,1800,0,0,0,190,0
190,9.42,16.35,2000,0,0,0,190,0
200,9.42,16.35,50,20000,120,50,274.17,0.37085
200,9.42,16.35,150,20000,120,50,264.64,0.3232
200,9.42,16.35,250,20000,120,50,250.3,0.2515
200,9.42,16.35,350,20000,120,50,241.84,0.2092
200,9.42,16.35,450,20000,120,50,211.45,0.05725
200,9.42,16.35,550,20000,120,50,203,0.015
200,9.42,16.35,650,20000,120,50,201.5,0.0075
200,9.42,16.35,750,20000,120,50,200,0
200,9.42,16.35,850,20000,120,50,200.64,0.0032
200,9.42,16.35,950,20000,120,50,200,0
200,9.42,16.35,1050,20000,120,50,200,0
200,9.42,16.35,1150,20000,120,50,200,0
200,9.42,16.35,1250,20000,120,50,200,0
200,9.42,16.35,1350,20000,120,50,200,0
200,9.42,16.35,1500,20000,120,50,200,0
684,9.66,17.42,0,40000,20,8,919.2699998,0.343961988
684,9.66,17.42,25,40000,20,8,917.2800003,0.341052632
684,9.66,17.42,75,40000,20,8,905.28,0.323508772
684,9.66,17.42,125,40000,20,8,848.5200001,0.240526316
684,9.66,17.42,175,40000,20,8,815.1499999,0.191739766
684,9.66,17.42,225,40000,20,8,767.7499997,0.12244152
684,9.66,17.42,275,40000,20,8,713.67,0.043377193
684,9.66,17.42,325,40000,20,8,700.33,0.023874269
684,9.66,17.42,375,40000,20,8,690.33,0.009254386
684,9.66,17.42,425,40000,20,8,697.7000002,0.02002924
684,9.66,17.42,475,40000,20,8,685.03,0.001505848
684,9.66,17.42,525,40000,20,8,681.0500003,-0.004312865
684,9.66,17.42,575,40000,20,8,688.4099997,0.006447368
684,9.66,17.42,625,40000,20,8,693.7800003,0.014298246
684,9.66,17.42,675,40000,20,8,700.4799998,0.024093567
684,9.66,17.42,725,40000,20,8,691.1499997,0.010453216
684,9.66,17.42,775,40000,20,8,705.8599998,0.031959064
684,9.66,17.42,825,40000,20,8,703.2099998,0.028084795
684,9.66,17.42,875,40000,20,8,707.9099998,0.03495614
684,9.66,17.42,925,40000,20,8,703.5900001,0.028640351
684,9.66,17.42,975,40000,20,8,695.2599998,0.016461988
684,9.66,17.42,1025,40000,20,8,696.6199997,0.018450292
190,11.6,29.9,50,20000,120,50,353.7400001,0.861789474
190,11.6,29.9,150,20000,120,50,305.69,0.608894737
190,11.6,29.9,250,20000,120,50,289.54,0.523894737
190,11.6,29.9,350,20000,120,50,275.47,0.449842105
190,11.6,29.9,450,20000,120,50,257.76,0.356631579
190,11.6,29.9,550,20000,120,50,231.5000001,0.218421053
190,11.6,29.9,650,20000,120,50,220.02,0.158
190,11.6,29.9,750,20000,120,50,207.24,0.090736842
190,11.6,29.9,850,20000,120,50,201.73,0.061736842
190,11.6,29.9,950,20000,120,50,201.4100001,0.060052632
190,11.6,29.9,1050,20000,120,50,197.7099999,0.040578947
190,11.6,29.9,1150,20000,120,50,197.13,0.037526316
190,11.6,29.9,1250,20000,120,50,197.58,0.039894737
190,11.6,29.9,1350,20000,120,50,195.96,0.031368421
190,11.6,29.9,1450,20000,120,50,202.1200001,0.063789474
