Network,Train_R2,Train_R2 std,Train_RSME,Train_RSME std,Train_MAE,Train_MAE std,Test_R2,Test_R2 std,Test_RSME,Test_RSME std,Test_MAE,Test_MAE std,Epoch,LR,qweqweqwe
Trial-45(7 x 10 x 10 x 1),0.983216445,0.004735319,0.022947591,0.002218047,0.011042783,0.002263478,0.963393216,0.023210626,0.033441395,0.015067275,0.017575464,0.008257516,655,0.003,1
Trial-57(7 x 12 x 12 x 1),0.97592668,0.008454736,0.027099163,0.004871454,0.014110306,0.003976124,0.959277949,0.025163856,0.037495462,0.015245385,0.020153257,0.005843211,772,0.00125,2
Trial-60(7 x 18 x 18 x 1),0.989454988,0.005895676,0.01800419,0.007493496,0.009244899,0.003845773,0.963932761,0.022417164,0.034826508,0.013143125,0.015892101,0.004260412,723,0.00125,3
Trial-61(7 x 20 x 20 x 1),0.986282092,0.006291254,0.020138449,0.005225235,0.009497085,0.002694527,0.967796888,0.029077633,0.033041909,0.018797195,0.014982901,0.006503798,743,0.00125,4
Trial-7(7 x 22 x 22 x 1),0.985280507,0.012545326,0.019145293,0.009998855,0.008593973,0.003422638,0.975511635,0.026317905,0.026653291,0.020066252,0.012389111,0.007436043,708,0.00175,5
Trial-62(7 x 22 x 22 x 1),0.988226659,0.001369632,0.019012505,0.001936277,0.008890309,0.000932976,0.959743541,0.030427998,0.031974071,0.018200068,0.014877599,0.00716392,1081,0.00125,6
Trial-63(7 x 24 x 24 x 1),0.98164045,0.008630018,0.02290119,0.003694551,0.011624554,0.003454719,0.962200448,0.029982442,0.032871518,0.017885199,0.016836805,0.00784611,515,0.00125,7
Trial-21(7 x 28 x 28 x 1),0.985779266,0.007236059,0.021236853,0.006787949,0.010616293,0.002858247,0.968600742,0.018539775,0.030228404,0.011814621,0.015349026,0.004070579,790,0.001,8
Trial-32(7 x 28 x 28 x 1),0.98730652,0.011876677,0.019762845,0.008763685,0.010221525,0.00547947,0.965211955,0.020306027,0.031886304,0.01532748,0.015280432,0.006078981,689,0.002,9
Trial-22(7 x 30 x 30 x 1),0.993082564,0.002462322,0.015094767,0.0026395,0.007677015,0.00025556,0.968944039,0.028062424,0.027018999,0.016753557,0.013208214,0.006485064,712,0.001,10
