Network,Train_R2,Train_R2 std,Train_RSME,Train_RSME std,Train_MAE,Train_MAE std,Test_R2,Test_R2 std,Test_RSME,Test_RSME std,Test_MAE,Test_MAE std,Epoch,LR
Trial-819(7 x 110 x 200 x 1),0.991463074,0.00178627,5.353459599,0.452255573,2.799833809,0.290289968,0.976096267,0.015199795,8.840864477,0.708333925,4.325107749,0.828997267,395,0.01
Trial-1479(7 x 195 x 185 x 1),0.991081648,0.001985126,5.615308915,0.458872839,3.284938027,0.308050413,0.974736906,0.020026935,9.935724685,3.279554735,5.232335476,1.544590636,336,0.01
Trial-1158(7 x 155 x 140 x 1),0.990404421,0.002338418,5.558539904,0.771414394,3.214864931,0.779187705,0.961517469,0.026830346,11.4565161,1.65529695,5.506140107,1.058596749,334,0.005
Trial-156(7 x 25 x 200 x 1),0.988061734,0.002670475,6.624527338,1.186438522,3.88846656,0.633119792,0.958388167,0.033224103,11.11645373,3.297831011,6.206219325,1.41771709,346,0.005
Trial-302(7 x 45 x 150 x 1),0.988413965,0.004749448,6.123333193,1.475847954,3.432562016,0.977816733,0.972255369,0.016549472,9.30921971,1.768646482,5.117929757,0.740848346,201,0.05
Trial-1069(7 x 145 x 85 x 1),0.987621021,0.002408973,6.563027639,0.190395817,3.669242438,0.227977465,0.97160996,0.020081003,10.22884325,2.87963454,5.288808958,1.17741497,185,0.05
Trial-390(7 x 55 x 200 x 1),0.99068197,0.001554821,5.643645412,0.695837403,3.088810079,0.413941565,0.97488033,0.015448107,9.221302793,1.675177327,5.114423034,0.887566222,468,0.0075
Trial-585(7 x 80 x 200 x 1),0.990325734,0.002761672,6.000606326,0.809840749,3.28065823,0.442204301,0.974851736,0.01347638,9.25871468,2.216682385,4.981816189,1.299673046,323,0.0075
Trial-319(7 x 50 x 40 x 1),0.98509838,0.004962878,6.841483788,1.061709534,4.007921316,0.877118871,0.969794586,0.009731938,11.08674597,1.331160866,5.97736559,0.596460855,269,0.075
Trial-785(7 x 110 x 30 x 1),0.985102641,0.002192589,7.299657508,0.633517201,3.954240958,0.485358166,0.961527257,0.024366843,12.41525395,2.497426122,6.314111986,1.521686815,186,0.075
