,Hard-U,Fe %,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Predict
0,200.0,9.42,16.35,0.0,8571.4,50.0,30.0,362.5583
1,200.0,9.42,16.35,1.0,8571.4,50.0,30.0,362.1306
2,200.0,9.42,16.35,2.0,8571.4,50.0,30.0,361.70346
3,200.0,9.42,16.35,3.0,8571.4,50.0,30.0,361.27692
4,200.0,9.42,16.35,4.0,8571.4,50.0,30.0,360.851
5,200.0,9.42,16.35,5.0,8571.4,50.0,30.0,360.42566
6,200.0,9.42,16.35,6.0,8571.4,50.0,30.0,360.0009
7,200.0,9.42,16.35,7.0,8571.4,50.0,30.0,359.57672
8,200.0,9.42,16.35,8.0,8571.4,50.0,30.0,359.1532
9,200.0,9.42,16.35,9.0,8571.4,50.0,30.0,358.73022
10,200.0,9.42,16.35,10.0,8571.4,50.0,30.0,358.30786
11,200.0,9.42,16.35,11.0,8571.4,50.0,30.0,357.8861
12,200.0,9.42,16.35,12.0,8571.4,50.0,30.0,357.46497
13,200.0,9.42,16.35,13.0,8571.4,50.0,30.0,357.0444
14,200.0,9.42,16.35,14.0,8571.4,50.0,30.0,356.62445
15,200.0,9.42,16.35,15.0,8571.4,50.0,30.0,356.20517
16,200.0,9.42,16.35,16.0,8571.4,50.0,30.0,355.78644
17,200.0,9.42,16.35,17.0,8571.4,50.0,30.0,355.36835
18,200.0,9.42,16.35,18.0,8571.4,50.0,30.0,354.95087
19,200.0,9.42,16.35,19.0,8571.4,50.0,30.0,354.53406
20,200.0,9.42,16.35,20.0,8571.4,50.0,30.0,354.1178
21,200.0,9.42,16.35,21.0,8571.4,50.0,30.0,353.7022
22,200.0,9.42,16.35,22.0,8571.4,50.0,30.0,353.2872
23,200.0,9.42,16.35,23.0,8571.4,50.0,30.0,352.87286
24,200.0,9.42,16.35,24.0,8571.4,50.0,30.0,352.4591
25,200.0,9.42,16.35,25.0,8571.4,50.0,30.0,352.046
26,200.0,9.42,16.35,26.0,8571.4,50.0,30.0,351.63354
27,200.0,9.42,16.35,27.0,8571.4,50.0,30.0,351.22168
28,200.0,9.42,16.35,28.0,8571.4,50.0,30.0,350.8105
29,200.0,9.42,16.35,29.0,8571.4,50.0,30.0,350.3999
30,200.0,9.42,16.35,30.0,8571.4,50.0,30.0,349.98996
31,200.0,9.42,16.35,31.0,8571.4,50.0,30.0,349.58066
32,200.0,9.42,16.35,32.0,8571.4,50.0,30.0,349.172
33,200.0,9.42,16.35,33.0,8571.4,50.0,30.0,348.764
34,200.0,9.42,16.35,34.0,8571.4,50.0,30.0,348.35663
35,200.0,9.42,16.35,35.0,8571.4,50.0,30.0,347.94992
36,200.0,9.42,16.35,36.0,8571.4,50.0,30.0,347.54385
37,200.0,9.42,16.35,37.0,8571.4,50.0,30.0,347.13843
38,200.0,9.42,16.35,38.0,8571.4,50.0,30.0,346.73364
39,200.0,9.42,16.35,39.0,8571.4,50.0,30.0,346.3295
40,200.0,9.42,16.35,40.0,8571.4,50.0,30.0,345.92603
41,200.0,9.42,16.35,41.0,8571.4,50.0,30.0,345.52322
42,200.0,9.42,16.35,42.0,8571.4,50.0,30.0,345.12106
43,200.0,9.42,16.35,43.0,8571.4,50.0,30.0,344.71954
44,200.0,9.42,16.35,44.0,8571.4,50.0,30.0,344.31873
45,200.0,9.42,16.35,45.0,8571.4,50.0,30.0,343.91852
46,200.0,9.42,16.35,46.0,8571.4,50.0,30.0,343.519
47,200.0,9.42,16.35,47.0,8571.4,50.0,30.0,343.12018
48,200.0,9.42,16.35,48.0,8571.4,50.0,30.0,342.72192
49,200.0,9.42,16.35,49.0,8571.4,50.0,30.0,342.32446
50,200.0,9.42,16.35,50.0,8571.4,50.0,30.0,341.92755
51,200.0,9.42,16.35,51.0,8571.4,50.0,30.0,341.53137
52,200.0,9.42,16.35,52.0,8571.4,50.0,30.0,341.13586
53,200.0,9.42,16.35,53.0,8571.4,50.0,30.0,340.74103
54,200.0,9.42,16.35,54.0,8571.4,50.0,30.0,340.34683
55,200.0,9.42,16.35,55.0,8571.4,50.0,30.0,339.9533
56,200.0,9.42,16.35,56.0,8571.4,50.0,30.0,339.56052
57,200.0,9.42,16.35,57.0,8571.4,50.0,30.0,339.16833
58,200.0,9.42,16.35,58.0,8571.4,50.0,30.0,338.77686
59,200.0,9.42,16.35,59.0,8571.4,50.0,30.0,338.3861
60,200.0,9.42,16.35,60.0,8571.4,50.0,30.0,337.99597
61,200.0,9.42,16.35,61.0,8571.4,50.0,30.0,337.60657
62,200.0,9.42,16.35,62.0,8571.4,50.0,30.0,337.21777
63,200.0,9.42,16.35,63.0,8571.4,50.0,30.0,336.8297
64,200.0,9.42,16.35,64.0,8571.4,50.0,30.0,336.44232
65,200.0,9.42,16.35,65.0,8571.4,50.0,30.0,336.05566
66,200.0,9.42,16.35,66.0,8571.4,50.0,30.0,335.66962
67,200.0,9.42,16.35,67.0,8571.4,50.0,30.0,335.2843
68,200.0,9.42,16.35,68.0,8571.4,50.0,30.0,334.89966
69,200.0,9.42,16.35,69.0,8571.4,50.0,30.0,334.51575
