Network,Train_R2,Train_R2 std,Train_RSME,Train_RSME std,Train_MAE,Train_MAE std,Test_R2,Test_R2 std,Test_RSME,Test_RSME std,Test_MAE,Test_MAE std,Epoch,LR,Output AF
Trial-1(7 x 10 x 10 x 1),0.945851895,0.054530801,0.037161723,0.02025749,0.019715261,0.009173793,0.894165172,0.077926887,0.052861748,0.022030707,0.026646223,0.009928073,359,0.00175,1
Trial-2(7 x 12 x 12 x 1),0.970964689,0.017541025,0.028558997,0.006697147,0.014394219,0.004011513,0.910709627,0.067963609,0.047813033,0.028995321,0.022417337,0.00959614,413,0.00175,1
Trial-3(7 x 14 x 14 x 1),0.97895683,0.014623152,0.024189102,0.010352866,0.012665595,0.00508698,0.925977509,0.07598491,0.0398411,0.011968775,0.020951616,0.006162194,609,0.00175,1
Trial-4(7 x 16 x 16 x 1),0.968859274,0.031860596,0.026998385,0.011244375,0.013542766,0.006075152,0.935854288,0.053392782,0.04007964,0.025173213,0.020645216,0.012590039,583,0.00175,1
Trial-5(7 x 18 x 18 x 1),0.960372217,0.040621497,0.031087143,0.01787594,0.014661864,0.008918632,0.916414672,0.07604624,0.044965265,0.017609782,0.019692297,0.00720345,291,0.00175,1
Trial-6(7 x 20 x 20 x 1),0.984106557,0.011697721,0.02166287,0.008880746,0.011151856,0.003778909,0.952618797,0.026111775,0.040344473,0.010620466,0.01916557,0.003796373,499,0.00175,1
Trial-7(7 x 22 x 22 x 1),0.985280507,0.012545326,0.019145293,0.009998855,0.008593973,0.003422638,0.975511635,0.026317905,0.026653291,0.020066252,0.012389111,0.007436043,708,0.00175,1
Trial-8(7 x 24 x 24 x 1),0.986252774,0.007187389,0.020807778,0.007663199,0.010057426,0.00330177,0.95829398,0.023348541,0.034760752,0.013912991,0.015552628,0.004063738,416,0.00175,1
Trial-9(7 x 26 x 26 x 1),0.97950994,0.003484916,0.026132052,0.002776878,0.012622848,0.001126582,0.945449452,0.041065991,0.040062264,0.018323419,0.020291455,0.007696401,342,0.00175,1
Trial-10(7 x 28 x 28 x 1),0.973782298,0.008206822,0.027854305,0.003474974,0.013367932,0.001605145,0.942501517,0.036688997,0.039129463,0.018978596,0.01841028,0.006935877,324,0.00175,1
Trial-11(7 x 30 x 30 x 1),0.987751127,0.003516663,0.019193827,0.002654273,0.009016442,0.000236811,0.945968637,0.0391241,0.039364728,0.022550018,0.018852363,0.010929466,475,0.00175,1
Trial-12(7 x 10 x 10 x 1),0.95887339,0.033591564,0.032996636,0.009434455,0.018481099,0.00558364,0.934092979,0.058396358,0.044442681,0.024907242,0.024237025,0.009192783,932,0.001,1
Trial-13(7 x 12 x 12 x 1),0.978430045,0.01220625,0.025441935,0.010316863,0.013133735,0.005421281,0.946517362,0.027761978,0.037815809,0.013112427,0.019380157,0.005686381,874,0.001,1
Trial-14(7 x 14 x 14 x 1),0.926252454,0.057730125,0.042467794,0.018425948,0.020993011,0.008413135,0.870224925,0.119465319,0.056420953,0.04058936,0.025945123,0.015349028,594,0.001,1
Trial-15(7 x 16 x 16 x 1),0.962689722,0.041627772,0.029058946,0.014156194,0.014870262,0.007805235,0.925532043,0.073729949,0.04005869,0.032312453,0.019545121,0.013105608,993,0.001,1
Trial-16(7 x 18 x 18 x 1),0.957566255,0.027782846,0.03536591,0.0118793,0.01845705,0.003749834,0.893151419,0.084541617,0.055197979,0.027354157,0.026998301,0.010022092,652,0.001,1
Trial-17(7 x 20 x 20 x 1),0.98430846,0.008627009,0.021523457,0.006722833,0.010474442,0.002536316,0.931813858,0.045568694,0.044898754,0.022520485,0.018979569,0.005484847,608,0.001,1
Trial-18(7 x 22 x 22 x 1),0.971696571,0.018233291,0.02781789,0.006017901,0.014958124,0.003895544,0.928867489,0.057340386,0.042166449,0.022448923,0.02352327,0.011759982,660,0.001,1
Trial-19(7 x 24 x 24 x 1),0.964757053,0.0316672,0.030279445,0.015851718,0.016521465,0.008600422,0.928446373,0.033037884,0.048097694,0.009890459,0.02369673,0.004100411,390,0.001,1
Trial-20(7 x 26 x 26 x 1),0.96534252,0.032822319,0.02851971,0.010609269,0.014057758,0.006173062,0.953581247,0.051047816,0.034634849,0.025240271,0.017422542,0.010372872,791,0.001,1
Trial-21(7 x 28 x 28 x 1),0.985779266,0.007236059,0.021236853,0.006787949,0.010616293,0.002858247,0.968600742,0.018539775,0.030228404,0.011814621,0.015349026,0.004070579,790,0.001,1
Trial-22(7 x 30 x 30 x 1),0.993082564,0.002462322,0.015094767,0.0026395,0.007677015,0.00025556,0.968944039,0.028062424,0.027018999,0.016753557,0.013208214,0.006485064,712,0.001,1
Trial-23(7 x 10 x 10 x 1),0.973355993,0.011007517,0.028523618,0.007527478,0.013230636,0.003961823,0.928343144,0.051298515,0.042033922,0.020334878,0.020974595,0.008362575,1130,0.002,1
Trial-24(7 x 12 x 12 x 1),0.954367731,0.029125295,0.035750465,0.008504148,0.016217031,0.004755284,0.936842063,0.057912223,0.042001683,0.025447661,0.021393761,0.01179549,657,0.002,1
Trial-25(7 x 14 x 14 x 1),0.95090931,0.058024898,0.031917457,0.016208914,0.015635478,0.006565307,0.901564987,0.135097482,0.047708022,0.04410043,0.021488179,0.015029561,579,0.002,1
Trial-26(7 x 16 x 16 x 1),0.982859726,0.008434436,0.022008683,0.004397192,0.011368021,0.003218961,0.955636779,0.027538346,0.035493634,0.016383522,0.017119483,0.00660445,364,0.002,1
Trial-27(7 x 18 x 18 x 1),0.984630017,0.008383548,0.021917187,0.006845785,0.011599781,0.003518569,0.958278269,0.030420414,0.035669368,0.011537359,0.017441204,0.005177217,341,0.002,1
Trial-28(7 x 20 x 20 x 1),0.990527861,0.004940134,0.017078679,0.005107773,0.008983913,0.00251171,0.938931537,0.065447911,0.03518022,0.020199445,0.017200909,0.009219902,571,0.002,1
Trial-29(7 x 22 x 22 x 1),0.765211714,0.383876516,0.056490964,0.062928231,0.024914802,0.025353852,0.82854986,0.205455557,0.078746766,0.081814086,0.03814606,0.03931455,521,0.002,1
Trial-30(7 x 24 x 24 x 1),0.987725081,0.000897752,0.019950016,0.00147196,0.010093623,0.000860424,0.949304822,0.043487187,0.034156761,0.019794382,0.016467903,0.008595853,313,0.002,1
Trial-31(7 x 26 x 26 x 1),0.992555516,0.003555279,0.015015807,0.005143392,0.007535427,0.002500513,0.950941198,0.040367551,0.03363328,0.016193007,0.014423806,0.005131376,599,0.002,1
Trial-32(7 x 28 x 28 x 1),0.98730652,0.011876677,0.019762845,0.008763685,0.010221525,0.00547947,0.965211955,0.020306027,0.031886304,0.01532748,0.015280432,0.006078981,689,0.002,1
Trial-33(7 x 30 x 30 x 1),0.986469181,0.005913143,0.021595772,0.005329775,0.009970684,0.002512131,0.951162553,0.040508552,0.033802636,0.014370793,0.015677298,0.006716399,376,0.002,1
Trial-34(7 x 10 x 10 x 1),0.976482197,0.009767623,0.026917954,0.006336925,0.011908345,0.002454362,0.956481604,0.050322061,0.035414108,0.024649636,0.017112823,0.010506413,431,0.0025,1
Trial-35(7 x 12 x 12 x 1),0.945414647,0.03830232,0.037601286,0.011865931,0.017173147,0.004816718,0.920754032,0.048358158,0.050784088,0.022097125,0.024698992,0.012088275,461,0.0025,1
Trial-36(7 x 14 x 14 x 1),0.978953356,0.010906781,0.026002362,0.010570514,0.012312612,0.004923068,0.953339993,0.019730937,0.037144787,0.009849619,0.016502113,0.004197436,445,0.0025,1
Trial-37(7 x 16 x 16 x 1),0.964903053,0.029625101,0.030043115,0.015199578,0.015018406,0.007866589,0.924197175,0.054643988,0.048171065,0.013207632,0.021955138,0.005783302,406,0.0025,1
Trial-38(7 x 18 x 18 x 1),0.971709064,0.031848858,0.024282447,0.011973775,0.012421631,0.006090308,0.942415527,0.071066011,0.037371398,0.031660798,0.019763468,0.014220943,484,0.0025,1
Trial-39(7 x 20 x 20 x 1),0.929127099,0.065684146,0.038432586,0.022106195,0.019180884,0.010343915,0.935073606,0.044997775,0.046598372,0.023538648,0.023230612,0.012244862,611,0.0025,1
Trial-40(7 x 22 x 22 x 1),0.98643804,0.011025693,0.019968784,0.008992104,0.010874308,0.004796554,0.9560375,0.034672357,0.033146479,0.012374337,0.016702422,0.005361975,610,0.0025,1
Trial-41(7 x 24 x 24 x 1),0.983646304,0.00863317,0.021925045,0.005864635,0.010552172,0.002077368,0.946638861,0.040123856,0.037076771,0.015435635,0.017058809,0.006236637,317,0.0025,1
Trial-42(7 x 26 x 26 x 1),0.984559697,0.006467089,0.025216233,0.009205977,0.012191119,0.004131351,0.938401456,0.046982993,0.042511203,0.020499452,0.0200135,0.008680063,412,0.0025,1
Trial-43(7 x 28 x 28 x 1),0.952568034,0.065702429,0.03445438,0.025996741,0.015282079,0.010035318,0.805729728,0.297720913,0.053102209,0.040387358,0.023784205,0.018434666,485,0.0025,1
Trial-44(7 x 30 x 30 x 1),0.985826885,0.011419825,0.018845287,0.008652553,0.009461843,0.004587705,0.957079335,0.029896079,0.033603693,0.011313242,0.014233372,0.002783853,344,0.0025,1
Trial-45(7 x 10 x 10 x 1),0.983216445,0.004735319,0.022947591,0.002218047,0.011042783,0.002263478,0.963393216,0.023210626,0.033441395,0.015067275,0.017575464,0.008257516,655,0.003,1
Trial-46(7 x 12 x 12 x 1),0.958917003,0.035751092,0.031724364,0.011635783,0.016371327,0.005941638,0.936211239,0.056156628,0.046409701,0.030694515,0.023976878,0.015268938,390,0.003,1
Trial-47(7 x 14 x 14 x 1),0.971398685,0.017229781,0.028367375,0.012653496,0.013806524,0.005410904,0.923262512,0.068106638,0.047273482,0.020503886,0.022255507,0.009034944,565,0.003,1
Trial-48(7 x 16 x 16 x 1),0.980567315,0.013534593,0.024877148,0.007940334,0.013649119,0.003898737,0.93147047,0.062893309,0.037770573,0.015079091,0.020627072,0.008473377,390,0.003,1
Trial-49(7 x 18 x 18 x 1),0.95735951,0.060195047,0.028043,0.021704647,0.012699715,0.008869189,0.953402454,0.011908036,0.040985845,0.014921355,0.01585679,0.003572156,659,0.003,1
Trial-50(7 x 20 x 20 x 1),0.989758911,0.002207065,0.019707945,0.004286023,0.009937428,0.00166447,0.957505128,0.025883469,0.0375807,0.01362678,0.016088896,0.004764412,465,0.003,1
Trial-51(7 x 22 x 22 x 1),0.978671202,0.016890204,0.024405791,0.011340934,0.011487121,0.004877824,0.940197666,0.051945075,0.036989653,0.015478576,0.017227839,0.007364333,369,0.003,1
Trial-52(7 x 24 x 24 x 1),0.990370321,0.005661927,0.016910079,0.005969517,0.00762268,0.00270147,0.944494645,0.034508842,0.038237435,0.013159838,0.01690623,0.006895349,444,0.003,1
Trial-53(7 x 26 x 26 x 1),0.994237661,0.00305586,0.013965967,0.004948753,0.007394585,0.002350233,0.951819546,0.048625375,0.032291483,0.018487262,0.014341097,0.00662548,833,0.003,1
