,Yield Strengh,UTS,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Residual Stress,Predict
0,185,9.42,16.35,50,20000.0,120,50,-1096.60319,-1114.3344
1,185,9.42,16.35,150,20000.0,120,50,-806.0418452,-785.6356
2,185,9.42,16.35,250,20000.0,120,50,-570.3877726,-560.93054
3,185,9.42,16.35,350,20000.0,120,50,-393.7066416,-371.20334
4,185,9.42,16.35,450,20000.0,120,50,-273.3368343,-177.00095
5,185,9.42,16.35,550,20000.0,120,50,-199.883917,-137.47955
6,185,9.42,16.35,650,20000.0,120,50,-163.9645118,-136.87059
7,185,9.42,16.35,750,20000.0,120,50,-140.1094497,-141.78004
8,185,9.42,16.35,850,20000.0,120,50,-113.56789479999999,-129.6414
9,185,9.42,16.35,950,20000.0,120,50,-88.37787789,-97.095436
10,185,9.42,16.35,1050,20000.0,120,50,-59.16364943,-64.5196
11,185,9.42,16.35,1150,20000.0,120,50,-35.31135126,-31.935982
12,185,9.42,16.35,1250,20000.0,120,50,-8.761504657,0.65864056
13,185,9.42,16.35,1350,20000.0,120,50,7.047898067999999,33.252964
14,185,9.42,16.35,1450,20000.0,120,50,25.543793700000002,66.31688
15,185,9.42,16.35,1550,20000.0,120,50,43.98993947,103.59685
16,250,17.62,18.84,0,5714.3,70,30,-1882.9172370000001,-1652.8853
17,250,17.62,18.84,5,5714.3,70,30,-1798.170943,-1618.3108
18,250,17.62,18.84,15,5714.3,70,30,-1757.664959,-1545.6342
19,250,17.62,18.84,20,5714.3,70,30,-1647.132232,-1507.6151
20,250,17.62,18.84,40,5714.3,70,30,-1437.11733,-1344.2385
21,250,17.62,18.84,70,5714.3,70,30,-1179.231225,-1065.7985
22,250,17.62,18.84,90,5714.3,70,30,-983.9739795,-859.4608
23,250,17.62,18.84,100,5714.3,70,30,-862.4233640000001,-762.56134
24,250,17.62,18.84,185,5714.3,70,30,-368.81757749999997,-205.86028
25,250,17.62,18.84,265,5714.3,70,30,6.8412708129999995,136.96954
26,250,17.62,18.84,340,5714.3,70,30,279.3271684,423.94077
27,250,17.62,18.84,415,5714.3,70,30,662.3675668999999,632.5459
28,250,17.62,18.84,515,5714.3,70,30,658.3773926,623.2491
29,250,17.62,18.84,600,5714.3,70,30,558.6175923999999,611.3843
30,250,17.62,18.84,680,5714.3,70,30,492.02305369999993,600.19055
31,185,9.42,16.35,0,0.0,0,0,0.0,-4.9107547
32,185,9.42,16.35,200,0.0,0,0,0.0,13.987796
33,185,9.42,16.35,400,0.0,0,0,0.0,-4.009782
34,185,9.42,16.35,600,0.0,0,0,0.0,14.581821
35,185,9.42,16.35,800,0.0,0,0,0.0,14.112614
36,185,9.42,16.35,1000,0.0,0,0,0.0,11.320278
37,185,9.42,16.35,1200,0.0,0,0,0.0,10.934007
38,185,9.42,16.35,1400,0.0,0,0,0.0,10.515789
39,185,9.42,16.35,1600,0.0,0,0,0.0,10.097604
40,185,9.42,16.35,1800,0.0,0,0,0.0,9.679559
41,185,9.42,16.35,2000,0.0,0,0,0.0,9.2614
42,250,17.62,18.84,0,0.0,0,0,0.0,-25.393291
43,250,17.62,18.84,200,0.0,0,0,0.0,25.05195
44,250,17.62,18.84,400,0.0,0,0,0.0,25.141756
45,250,17.62,18.84,600,0.0,0,0,0.0,-14.050583
46,250,17.62,18.84,800,0.0,0,0,0.0,1.6368923
47,250,17.62,18.84,1000,0.0,0,0,0.0,1.4666743
48,250,17.62,18.84,1200,0.0,0,0,0.0,1.2965311
49,250,17.62,18.84,1400,0.0,0,0,0.0,1.1264623
50,250,17.62,18.84,1600,0.0,0,0,0.0,0.9562493
51,250,17.62,18.84,1800,0.0,0,0,0.0,0.78604084
52,250,17.62,18.84,2000,0.0,0,0,0.0,0.6158696
53,211,11.6,29.9,0,8571.4,50,50,-965.0,-804.9032
54,211,11.6,29.9,25,8571.4,50,50,-741.8372491,-645.3178
55,211,11.6,29.9,50,8571.4,50,50,-554.0228053,-489.37424
56,211,11.6,29.9,75,8571.4,50,50,-412.0354238,-356.59314
57,211,11.6,29.9,100,8571.4,50,50,-247.14118369999997,-241.57394
58,211,11.6,29.9,125,8571.4,50,50,-125.5339892,-134.8412
59,211,11.6,29.9,150,8571.4,50,50,-121.0811753,-30.525364
60,211,11.6,29.9,175,8571.4,50,50,-19.85083147,73.896706
61,211,11.6,29.9,200,8571.4,50,50,119.57985190000001,178.06155
62,211,11.6,29.9,225,8571.4,50,50,134.2260956,281.60828
63,211,11.6,29.9,250,8571.4,50,50,176.88592169999998,384.1858
64,211,11.6,29.9,0,0.0,0,0,0.0,-6.432323
65,211,11.6,29.9,200,0.0,0,0,0.0,6.9234056
66,211,11.6,29.9,400,0.0,0,0,0.0,45.503235
67,211,11.6,29.9,600,0.0,0,0,0.0,17.125717
68,211,11.6,29.9,800,0.0,0,0,0.0,24.476877
69,211,11.6,29.9,1000,0.0,0,0,0.0,2.688932
70,211,11.6,29.9,1200,0.0,0,0,0.0,1.2282931
71,211,11.6,29.9,1400,0.0,0,0,0.0,-0.58122903
72,211,11.6,29.9,1600,0.0,0,0,0.0,-5.2997108
73,211,11.6,29.9,1800,0.0,0,0,0.0,-10.018192
74,211,11.6,29.9,2000,0.0,0,0,0.0,-14.736649
75,684,9.66,17.42,0,0.0,0,0,0.0,34.863945
76,684,9.66,17.42,200,0.0,0,0,0.0,15.964652
77,684,9.66,17.42,400,0.0,0,0,0.0,4.1864305
78,684,9.66,17.42,600,0.0,0,0,0.0,11.013087
79,684,9.66,17.42,800,0.0,0,0,0.0,9.201909
80,684,9.66,17.42,1000,0.0,0,0,0.0,7.3907537
81,684,9.66,17.42,1200,0.0,0,0,0.0,5.57952
82,684,9.66,17.42,1400,0.0,0,0,0.0,3.7683702
83,684,9.66,17.42,1600,0.0,0,0,0.0,1.9571273
84,684,9.66,17.42,1800,0.0,0,0,0.0,0.14601506
85,684,9.66,17.42,2000,0.0,0,0,0.0,-1.6651462
86,314,17.62,18.84,0,8571.4,50,50,-1324.0,-1268.7147
87,684,9.66,17.42,0,40000.0,20,8,-1209.793734,-1164.6567
88,684,9.66,17.42,10,40000.0,20,8,-1218.015666,-1106.0734
89,684,9.66,17.42,30,40000.0,20,8,-1087.467363,-982.9078
90,684,9.66,17.42,50,40000.0,20,8,-813.3159268999999,-853.8274
91,684,9.66,17.42,75,40000.0,20,8,-567.8851175,-685.00464
92,684,9.66,17.42,100,40000.0,20,8,-270.23498689999997,-509.14594
93,684,9.66,17.42,150,40000.0,20,8,-100.5221932,-150.82841
94,684,9.66,17.42,200,40000.0,20,8,35.24804178,80.61195
95,684,9.66,17.42,250,40000.0,20,8,298.95561360000005,218.30684
96,684,9.66,17.42,400,40000.0,20,8,220.6266319,262.76804
97,684,9.66,17.42,500,40000.0,20,8,199.7389034,292.31732
